Assets,At fair value through profit or loss,At fair value through other comprehensive income,Amortised cost,Total
, , ,"12,789,083","12,789,083"
, , ,"2,273,308","2,273,308"
,572,"3,110,118","5,735,939","8,846,629"
, , ,"29,448,516","29,448,516"
, , ,"1,720,118","1,720,118"
, , ,"553,604","553,604"
,572,"3,110,118","52,520,568","55,631,258"
-----
Liabilities,At fair value through profit or loss,At fair value through other comprehensive income,Amortised cost,Total
, , ,"1,004,750","1,004,750"
, , ,"41,594,226","41,594,226"
, , ,"3,122,039","3,122,039"
, , ,"642,775","642,775"
, , ,"2,519,932","2,519,932"
, , ,"48,883,722","48,883,722"
