Rating,Debt_securities_ISLAMIC_sukuks_AED'000,Other_investments_AED'000,Total_AED'000
,"70,884",-,"70,884"
,"1,021,790",-,"1,021,790"
,"973,026",-,"973,026"
,"201,283","113,476","314,759"
,"637,739","482,374","1,120,113"
,"1,880,907",-,"1,880,907"
,"2,080,158",-,"2,080,158"
,"416,574",-,"416,574"
,"259,260","25,784","285,044"
,"(-18,303)","(-2,348)","(-20,651)"
,"7,523,318","619,286","8,142,604"
-----
Date,Stage,Outstanding_balance_AED'000,Allowances_for_impairment_ECL_AED'000,Carrying_amount_AED'000
,"8,872,901","(-27,924)","8,844,977"
,"8,137,470","(-20,651)","8,116,819"
