"""Notes""","""Unaudited\nthree months\nperiod ended\n30 June\n2024""","""Unaudited\nthree months\nperiod ended\n30 June\n2023""","""Unaudited\nsix months\nperiod ended\n30 June\n2024""","""Unaudited\nsix months\nperiod ended\n30 June\n2023"""
"""Notes""","""Unaudited\nthree months\nperiod ended\n30 June\n2024""","""Unaudited\nthree months\nperiod ended\n30 June\n2023""","""Unaudited\nsix months\nperiod ended\n30 June\n2024""","""Unaudited\nsix months\nperiod ended\n30 June\n2023"""
"""Interest and similar income""","""16,930""","""11,414""","""32,154""","""21,582"""
"""Interest and similar expense""","""(10,422)""","""(5,502)""","""(19,685)""","""(9,719)"""
"""Net interest income""","""6,508""","""5,912""","""12,469""","""11,863"""
"""Income from Islamic financing and\ninvestment products""","""2,158""","""1,760""","""4,218""","""3,384"""
"""Distribution on Islamic deposits and\nprofit paid to Sukuk holders""","""(726)""","""(440)""","""(1,337)""","""(821)"""
"""Net income from Islamic financing\nand investment products""","""1,432""","""1,320""","""2,881""","""2,563"""
"""Net interest income and net income from\nIslamic financing and investment\nproducts""","""7,940""","""7,232""","""15,350""","""14,426"""
"""Fee and commission income""","""3,273""","""1,993""","""6,259""","""4,009"""
"""Fee and commission expense""","""(1,530)""","""(874)""","""(2,863)""","""(1,771)"""
"""Net fee and commission income""","""1,743""","""1,119""","""3,396""","""2,238"""
"""Net gain on trading securities""","""202""","""78""","""400""","""190"""
"""Other operating income 13""","""829""","""2,394""","""2,230""","""4,433"""
"""Total operating income""","""10,714""","""10,823""","""21,376""","""21,287"""
"""General and administrative expenses 14""","""(3,041)""","""(2,817)""","""(6,111)""","""(5,460)"""
"""Operating profit before impairment""","""7,673""","""8,006""","""15,265""","""15,827"""
"""Net impairment (loss) / reversal 15""","""1,350""","""(478)""","""2,216""","""(949)"""
"""Operating profit before taxation and others""","""9,023""","""7,528""","""17,481""","""14,878"""
"""Hyperinflation adjustment on net\nmonetary position 2""","""(736)""","""(520)""","""(1,617)""","""(1,352)"""
"""Profit for the period before taxation""","""8,287""","""7,008""","""15,864""","""13,526"""
"""Taxation charge""","""(1,224)""","""(771)""","""(2,085)""","""(1,267)"""
"""Profit for the period""","""7,063""","""6,237""","""13,779""","""12,259"""
"""Attributable to:""","""Attributable to:""","""Attributable to:""","""Attributable to:""","""Attributable to:"""
"""Equity holders of the Group""","""7,058""","""6,226""","""13,760""","""12,238"""
"""Non-controlling interest 5""","""11""","""19""","""19""","""21"""
"""Profit for the period""","""7,063""","""6,237""","""13,779""","""12,259"""
"""Earnings per share (AED) 17""","""1.10""","""0.97""","""2.14""","""1.90"""
